,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Amt_per_Trans
558,Existing Customer,40,M,4,College,Unknown,$80K - $120K,Blue,25,3,3,1,0,1962.0,0.684,1179,27,0.688,0.0,43.666666666666664
559,Attrited Customer,62,M,0,High School,Married,$60K - $80K,Blue,56,3,3,2,0,8077.0,0.7490000000000001,906,16,0.33299999999999996,0.0,56.625
560,Existing Customer,26,M,0,Graduate,Single,$40K - $60K,Blue,13,6,1,2,1616,1674.0,0.466,2781,54,0.35,0.491,51.5
561,Existing Customer,60,M,0,Uneducated,Single,Less than $40K,Blue,53,5,3,2,1728,674.0,0.652,1650,53,0.606,0.7190000000000001,31.132075471698112
562,Existing Customer,54,F,3,Doctorate,Single,Less than $40K,Blue,42,6,1,0,1999,7257.0,0.812,1446,37,0.762,0.21600000000000003,39.08108108108108
563,Existing Customer,62,M,0,Graduate,Married,$60K - $80K,Blue,36,6,3,3,895,2779.0,0.6579999999999999,1703,48,0.371,0.244,35.479166666666664
564,Attrited Customer,57,M,2,College,Married,$40K - $60K,Blue,50,2,5,3,0,6462.0,0.856,761,17,0.214,0.0,44.76470588235294
565,Existing Customer,59,M,0,Graduate,Single,$40K - $60K,Blue,48,4,2,2,0,1638.0,0.5329999999999999,1536,44,0.63,0.0,34.90909090909091
566,Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,38,3,3,2,2480,1855.0,0.5429999999999999,1373,36,1.1179999999999999,0.5720000000000001,38.138888888888886
567,Existing Customer,44,M,4,High School,Single,$60K - $80K,Blue,32,5,3,2,1034,2199.0,0.759,1256,29,0.706,0.32,43.310344827586206
568,Attrited Customer,48,M,4,Unknown,Single,$80K - $120K,Blue,36,1,3,1,2517,9345.0,0.7659999999999999,643,16,0.231,0.212,40.1875
569,Existing Customer,43,M,2,Uneducated,Divorced,$120K +,Silver,24,4,2,0,1938,32578.0,0.426,1215,45,0.406,0.055999999999999994,27.0
570,Existing Customer,57,M,4,Uneducated,Married,$120K +,Blue,38,6,6,2,1961,17841.0,1.125,2244,58,0.706,0.099,38.689655172413794
571,Existing Customer,46,M,3,College,Unknown,$80K - $120K,Blue,36,4,2,2,1729,23140.0,0.408,1409,36,0.5,0.07,39.138888888888886
572,Existing Customer,40,M,3,High School,Unknown,$60K - $80K,Blue,36,4,2,1,1975,1649.0,0.708,1469,23,1.091,0.545,63.869565217391305
573,Existing Customer,54,M,1,Unknown,Married,$80K - $120K,Blue,36,4,1,2,960,5215.0,0.7090000000000001,1847,59,0.405,0.155,31.305084745762713
574,Existing Customer,57,F,1,Graduate,Single,$40K - $60K,Blue,48,5,1,0,1945,9008.0,0.8859999999999999,1277,29,0.526,0.17800000000000002,44.03448275862069
575,Existing Customer,44,M,4,Graduate,Married,$60K - $80K,Blue,28,6,2,3,0,11338.0,0.695,1227,24,0.5,0.0,51.125
576,Existing Customer,47,F,2,Doctorate,Married,Less than $40K,Blue,35,3,2,2,1184,4360.0,0.85,1336,38,0.652,0.214,35.1578947368421
577,Existing Customer,47,M,4,Doctorate,Married,$60K - $80K,Blue,36,4,1,1,706,18959.0,1.317,1110,58,0.349,0.036000000000000004,19.137931034482758
578,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,43,6,2,3,1412,1515.0,0.763,1474,26,0.857,0.48200000000000004,56.69230769230769
579,Existing Customer,53,F,3,College,Married,$40K - $60K,Blue,33,4,3,3,1618,3528.0,1.073,1955,44,0.76,0.314,44.43181818181818
580,Attrited Customer,56,M,1,College,Married,$60K - $80K,Blue,44,5,3,3,0,1704.0,0.701,660,17,0.308,0.0,38.8235294117647
581,Attrited Customer,55,M,1,High School,Married,$60K - $80K,Blue,46,2,2,3,0,1438.3,1.037,888,18,1.25,0.0,49.333333333333336
582,Existing Customer,53,F,4,High School,Married,Less than $40K,Blue,36,6,1,3,1170,1804.0,1.297,1785,45,1.143,0.39299999999999996,39.666666666666664
583,Attrited Customer,61,M,1,Unknown,Married,$40K - $60K,Blue,49,1,2,2,788,4684.0,0.526,705,14,0.273,0.14400000000000002,50.357142857142854
584,Existing Customer,57,M,2,High School,Married,$60K - $80K,Blue,38,3,1,2,1822,914.0,0.593,1211,25,0.9229999999999999,0.6659999999999999,48.44
585,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,37,6,2,1,862,576.3,0.65,1391,40,0.212,0.599,34.775
586,Existing Customer,56,F,2,Unknown,Married,Unknown,Blue,45,4,3,0,1782,3624.0,0.976,1407,29,0.812,0.33,48.51724137931034
587,Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,44,5,1,1,2174,32342.0,0.426,1616,50,0.515,0.063,32.32
588,Existing Customer,60,M,0,Graduate,Married,Less than $40K,Blue,36,6,2,2,1311,665.0,0.995,1498,43,0.536,0.6629999999999999,34.83720930232558
589,Existing Customer,49,M,4,Uneducated,Married,$80K - $120K,Blue,40,3,1,1,2252,6462.0,0.831,1536,38,0.652,0.258,40.421052631578945
590,Existing Customer,46,F,4,Doctorate,Divorced,Less than $40K,Blue,41,4,1,1,1378,7315.0,0.799,1594,45,0.452,0.159,35.422222222222224
591,Existing Customer,42,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,1,2,710,8537.0,0.735,1190,30,0.5,0.077,39.666666666666664
592,Existing Customer,45,M,3,High School,Married,Less than $40K,Blue,33,6,5,0,1430,6287.0,0.8220000000000001,1248,37,0.85,0.185,33.729729729729726
593,Attrited Customer,45,F,4,Uneducated,Married,Less than $40K,Blue,38,3,4,3,0,4908.0,0.993,827,21,0.75,0.0,39.38095238095238
594,Attrited Customer,44,F,3,Doctorate,Married,Less than $40K,Blue,38,6,1,3,0,7222.0,0.685,920,18,0.5,0.0,51.111111111111114
595,Existing Customer,61,M,0,Uneducated,Single,$80K - $120K,Blue,48,6,2,2,0,21740.0,0.6759999999999999,1755,54,0.5429999999999999,0.0,32.5
596,Attrited Customer,55,M,3,Uneducated,Married,$60K - $80K,Blue,44,3,2,2,0,2323.0,0.737,804,15,0.5,0.0,53.6
597,Existing Customer,44,M,4,Unknown,Divorced,$60K - $80K,Blue,29,4,2,2,0,7788.0,0.29600000000000004,1196,30,0.429,0.0,39.86666666666667
598,Attrited Customer,55,F,1,Unknown,Married,Less than $40K,Blue,36,4,1,3,361,1077.3,0.963,850,22,0.6920000000000001,0.251,38.63636363636363
599,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,36,3,2,2,1314,22386.0,1.4869999999999999,1644,28,0.647,0.055,58.714285714285715
600,Existing Customer,45,M,2,Doctorate,Married,$80K - $120K,Blue,40,6,3,1,693,11017.0,0.914,1749,50,0.429,0.059000000000000004,34.98
601,Existing Customer,57,F,0,High School,Married,$40K - $60K,Blue,45,3,2,2,845,1433.0,1.328,2307,45,0.8,0.371,51.266666666666666
602,Existing Customer,31,M,0,Uneducated,Married,$40K - $60K,Blue,22,3,3,0,1113,2935.0,0.7170000000000001,1757,45,0.607,0.275,39.044444444444444
603,Existing Customer,34,F,2,Graduate,Married,Less than $40K,Blue,24,6,2,2,1853,1810.0,0.963,1826,35,1.0590000000000002,0.506,52.17142857142857
604,Attrited Customer,53,F,1,Graduate,Single,Less than $40K,Blue,36,2,2,3,0,1438.3,0.672,799,17,0.214,0.0,47.0
605,Existing Customer,35,F,1,College,Single,Unknown,Blue,28,4,5,2,1575,1943.0,0.625,2121,60,0.579,0.44799999999999995,35.35
606,Existing Customer,44,F,4,Graduate,Married,Less than $40K,Blue,36,4,1,0,0,1717.0,0.619,1468,29,0.381,0.0,50.62068965517241
607,Existing Customer,50,M,1,Graduate,Married,$80K - $120K,Blue,45,3,2,2,1185,15628.0,0.552,1482,46,0.643,0.07,32.21739130434783
608,Existing Customer,33,M,3,Post-Graduate,Married,$80K - $120K,Blue,25,4,2,3,2104,14330.0,0.955,1726,37,0.85,0.128,46.648648648648646
609,Existing Customer,50,M,3,Graduate,Single,$60K - $80K,Blue,45,4,2,3,1118,20754.0,0.6579999999999999,1806,31,0.409,0.051,58.25806451612903
610,Existing Customer,51,M,4,High School,Married,$80K - $120K,Blue,41,5,2,0,1437,14460.0,0.584,1405,43,0.387,0.09,32.674418604651166
611,Existing Customer,56,F,4,Unknown,Married,Less than $40K,Blue,46,5,3,2,1150,3121.0,1.064,2052,50,0.7240000000000001,0.26899999999999996,41.04
612,Existing Customer,55,F,3,Graduate,Single,Less than $40K,Blue,29,6,1,2,1309,6052.0,0.504,1175,34,0.7,0.17800000000000002,34.55882352941177
613,Existing Customer,26,M,0,College,Single,Less than $40K,Blue,36,4,1,3,479,959.3,0.5529999999999999,1786,37,0.37,0.33299999999999996,48.270270270270274
614,Existing Customer,42,F,3,Graduate,Married,Less than $40K,Blue,33,6,3,3,1077,7551.0,0.872,1675,58,0.415,0.125,28.879310344827587
615,Existing Customer,54,M,2,College,Married,$80K - $120K,Blue,44,4,3,3,1705,17045.0,0.807,1200,36,0.895,0.091,33.333333333333336
616,Existing Customer,44,F,3,Graduate,Married,Unknown,Blue,36,4,2,3,819,20423.0,0.499,1283,37,0.542,0.039,34.67567567567568
617,Existing Customer,65,F,0,Graduate,Married,$40K - $60K,Blue,56,5,3,0,1570,1391.0,0.9079999999999999,1937,57,0.7809999999999999,0.53,33.98245614035088
618,Existing Customer,38,F,3,High School,Married,Unknown,Blue,29,4,2,2,1528,9799.0,1.1420000000000001,2033,38,0.727,0.135,53.5
619,Existing Customer,58,M,3,High School,Married,$60K - $80K,Blue,40,6,1,3,2517,5791.0,1.455,1915,37,1.056,0.303,51.75675675675676
620,Existing Customer,39,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,4,2,2,2217,1032.0,1.06,1988,36,0.895,0.682,55.22222222222222
621,Existing Customer,52,M,2,High School,Married,$120K +,Blue,36,5,1,2,1358,1623.0,1.242,1648,30,1.5,0.456,54.93333333333333
622,Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,31,4,1,0,901,7928.0,0.825,1902,45,0.667,0.102,42.266666666666666
623,Existing Customer,42,M,3,Unknown,Single,$80K - $120K,Blue,33,3,3,2,2170,1544.0,0.524,1454,35,0.522,0.584,41.542857142857144
624,Attrited Customer,42,M,2,College,Married,$60K - $80K,Blue,28,6,1,3,0,7340.0,0.65,838,24,0.41200000000000003,0.0,34.916666666666664
625,Existing Customer,57,M,4,Post-Graduate,Married,$120K +,Blue,51,4,2,3,0,16952.0,0.7090000000000001,1918,61,0.649,0.0,31.442622950819672
626,Attrited Customer,55,M,3,Doctorate,Single,$80K - $120K,Blue,35,4,1,3,0,20865.0,0.8809999999999999,837,25,0.667,0.0,33.48
627,Existing Customer,44,F,3,College,Unknown,Less than $40K,Blue,25,6,3,2,1040,2043.0,0.7290000000000001,4311,78,0.56,0.337,55.26923076923077
628,Existing Customer,37,F,3,Graduate,Married,Unknown,Blue,24,3,2,2,1550,9034.0,0.6920000000000001,1567,33,0.32,0.146,47.484848484848484
629,Existing Customer,50,F,3,Unknown,Married,Less than $40K,Blue,42,4,1,2,0,2240.0,0.6679999999999999,1905,39,0.345,0.0,48.84615384615385
630,Existing Customer,51,M,2,Graduate,Married,$40K - $60K,Blue,40,5,1,2,1566,10674.0,0.539,1422,26,0.529,0.128,54.69230769230769
631,Existing Customer,37,M,1,Graduate,Married,$80K - $120K,Blue,21,6,2,0,0,5120.0,0.867,1680,32,0.778,0.0,52.5
632,Existing Customer,36,F,2,Graduate,Married,Less than $40K,Blue,24,3,1,3,1593,1531.0,0.8690000000000001,1652,41,0.36700000000000005,0.51,40.292682926829265
633,Existing Customer,51,F,2,High School,Married,Less than $40K,Silver,36,5,3,0,2485,8776.0,0.736,1158,26,0.857,0.221,44.53846153846154
634,Existing Customer,65,M,1,Uneducated,Married,$40K - $60K,Blue,56,3,3,2,2021,447.0,0.9059999999999999,1797,46,0.586,0.8190000000000001,39.06521739130435
635,Existing Customer,43,M,2,College,Married,$60K - $80K,Blue,28,4,2,3,1355,20802.0,0.69,1911,55,0.5710000000000001,0.061,34.74545454545454
636,Existing Customer,46,M,3,Graduate,Married,$40K - $60K,Blue,32,6,2,3,0,11477.0,0.767,1260,27,0.688,0.0,46.666666666666664
637,Existing Customer,43,F,2,Graduate,Married,Less than $40K,Blue,33,5,2,2,852,3081.0,0.433,1489,45,0.324,0.217,33.08888888888889
638,Existing Customer,56,M,3,Graduate,Married,$80K - $120K,Blue,50,3,3,3,1372,6650.0,0.8959999999999999,1794,31,1.385,0.171,57.87096774193548
639,Existing Customer,43,M,3,Unknown,Single,$60K - $80K,Blue,34,6,2,0,2517,11254.0,0.501,1510,42,0.75,0.183,35.95238095238095
640,Attrited Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,48,3,3,3,1406,28865.0,1.3359999999999999,3231,47,0.306,0.046,68.74468085106383
641,Existing Customer,50,M,2,High School,Unknown,$60K - $80K,Blue,41,6,2,2,1762,1482.0,0.6609999999999999,1274,32,1.0,0.5429999999999999,39.8125
642,Existing Customer,43,F,3,Graduate,Married,$40K - $60K,Blue,36,6,1,3,2379,557.0,0.6940000000000001,1572,57,0.6759999999999999,0.81,27.57894736842105
643,Existing Customer,54,M,3,High School,Married,$80K - $120K,Blue,36,6,1,2,1133,305.3,0.759,1935,41,0.708,0.7879999999999999,47.19512195121951
644,Existing Customer,33,M,2,Unknown,Married,$60K - $80K,Blue,25,6,3,3,491,5751.0,1.054,2187,59,0.405,0.079,37.067796610169495
645,Existing Customer,58,F,2,Uneducated,Married,$40K - $60K,Blue,49,3,1,3,1166,5009.0,0.8029999999999999,1417,25,0.25,0.18899999999999997,56.68
646,Existing Customer,41,M,3,Graduate,Single,$80K - $120K,Blue,26,4,3,2,1811,9995.0,0.754,1465,31,0.47600000000000003,0.153,47.25806451612903
647,Existing Customer,48,M,3,Post-Graduate,Single,$60K - $80K,Blue,39,5,2,2,954,3780.0,0.6,1570,45,0.452,0.20199999999999999,34.888888888888886
648,Existing Customer,55,M,2,High School,Single,$40K - $60K,Blue,36,5,2,0,2517,3727.0,0.607,1445,40,0.29,0.40299999999999997,36.125
649,Attrited Customer,54,F,2,Graduate,Married,Less than $40K,Blue,45,3,1,3,306,1132.3,1.035,694,15,0.364,0.213,46.266666666666666
650,Existing Customer,51,F,3,Post-Graduate,Divorced,Unknown,Platinum,34,3,1,2,1578,32938.0,0.725,1929,40,0.48100000000000004,0.046,48.225
651,Existing Customer,35,M,3,Graduate,Single,$80K - $120K,Blue,24,4,1,2,864,22697.0,1.3730000000000002,2447,64,1.0,0.037000000000000005,38.234375
652,Existing Customer,50,M,3,Uneducated,Single,$80K - $120K,Blue,36,5,2,3,1676,23066.0,0.5660000000000001,1306,31,0.55,0.068,42.12903225806452
653,Attrited Customer,55,M,4,High School,Married,$80K - $120K,Blue,41,2,2,2,900,26660.0,1.031,646,10,0.25,0.033,64.6
654,Existing Customer,45,F,0,College,Divorced,Less than $40K,Blue,35,6,1,3,1686,4237.0,0.7020000000000001,1236,35,0.591,0.285,35.31428571428572
655,Existing Customer,34,M,2,Uneducated,Married,$60K - $80K,Blue,36,6,1,2,2326,6255.0,1.226,2513,63,0.615,0.271,39.888888888888886
656,Existing Customer,55,F,4,Graduate,Married,$40K - $60K,Blue,41,4,3,3,2517,639.0,1.516,2091,48,0.778,0.7979999999999999,43.5625
657,Attrited Customer,48,F,2,Unknown,Married,Less than $40K,Blue,36,5,1,3,800,6351.0,0.986,854,22,0.375,0.11199999999999999,38.81818181818182
658,Existing Customer,46,M,4,Graduate,Married,$60K - $80K,Blue,35,5,1,2,700,835.0,2.282,1848,25,1.083,0.456,73.92
659,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,56,3,3,3,554,1568.0,0.857,949,17,0.133,0.261,55.8235294117647
660,Existing Customer,48,M,1,Uneducated,Unknown,$60K - $80K,Blue,35,3,2,2,1213,15918.0,0.604,1371,37,0.423,0.071,37.054054054054056
661,Existing Customer,51,F,1,Graduate,Married,Less than $40K,Blue,42,6,2,2,2387,3435.0,0.76,1804,49,0.75,0.41,36.816326530612244
662,Existing Customer,39,M,3,Doctorate,Married,$60K - $80K,Blue,29,3,1,3,2517,1020.0,1.021,1605,43,0.344,0.7120000000000001,37.325581395348834
663,Existing Customer,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,2129,32387.0,0.5870000000000001,1463,38,0.583,0.062,38.5
664,Existing Customer,53,M,3,Graduate,Single,$60K - $80K,Blue,47,6,4,3,0,16320.0,0.757,1279,41,0.708,0.0,31.195121951219512
665,Existing Customer,38,M,2,High School,Married,$80K - $120K,Blue,36,5,3,3,843,1564.0,1.008,1470,28,0.4,0.35,52.5
666,Existing Customer,49,F,2,High School,Single,Less than $40K,Blue,43,4,1,2,0,3538.0,0.48100000000000004,1265,38,0.462,0.0,33.28947368421053
667,Existing Customer,37,F,0,Unknown,Married,Less than $40K,Blue,31,5,2,2,1381,1303.0,0.794,2002,60,0.429,0.515,33.36666666666667
668,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,2517,31999.0,0.741,1475,33,0.833,0.073,44.696969696969695
669,Existing Customer,46,M,2,Post-Graduate,Single,$40K - $60K,Silver,40,4,2,2,0,15459.0,0.789,1419,30,0.667,0.0,47.3
670,Existing Customer,44,F,3,Uneducated,Single,Less than $40K,Blue,36,5,3,3,0,4307.0,0.745,1628,37,0.542,0.0,44.0
671,Existing Customer,50,F,1,Unknown,Single,Less than $40K,Blue,46,4,2,3,1235,846.0,1.485,1337,29,1.071,0.593,46.10344827586207
672,Existing Customer,58,F,2,Uneducated,Married,$40K - $60K,Blue,47,3,2,2,1468,1380.0,0.517,1135,27,0.42100000000000004,0.515,42.03703703703704
673,Existing Customer,55,M,3,High School,Single,$120K +,Blue,51,3,1,3,1266,33250.0,0.846,1161,26,0.368,0.037000000000000005,44.65384615384615
674,Existing Customer,44,M,3,College,Unknown,$80K - $120K,Blue,35,6,1,2,1292,5069.0,1.0270000000000001,1571,38,0.52,0.203,41.3421052631579
675,Existing Customer,57,M,4,High School,Married,$80K - $120K,Blue,38,4,1,3,1553,13875.0,0.747,1916,40,0.5379999999999999,0.10099999999999999,47.9
676,Existing Customer,57,M,1,High School,Married,$40K - $60K,Blue,48,5,1,3,1927,617.0,0.9390000000000001,1346,30,0.364,0.757,44.86666666666667
677,Attrited Customer,48,M,3,High School,Married,$80K - $120K,Blue,42,1,1,3,0,9959.0,0.688,805,24,0.14300000000000002,0.0,33.541666666666664
678,Existing Customer,51,M,1,Graduate,Single,$60K - $80K,Blue,39,3,3,2,2517,6279.0,0.49200000000000005,1195,18,0.8,0.28600000000000003,66.38888888888889
679,Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,48,6,1,3,1566,1862.0,0.557,1155,34,0.545,0.457,33.970588235294116
680,Existing Customer,45,F,1,Doctorate,Single,Less than $40K,Blue,36,6,2,2,0,1438.3,0.597,1431,34,0.545,0.0,42.088235294117645
681,Existing Customer,41,M,4,Post-Graduate,Married,$60K - $80K,Blue,32,5,3,2,906,17095.0,0.62,1194,25,0.47100000000000003,0.05,47.76
682,Existing Customer,51,F,4,Graduate,Single,Less than $40K,Blue,42,3,1,3,1753,927.0,0.32,1154,33,0.5710000000000001,0.654,34.96969696969697
683,Existing Customer,46,F,2,High School,Married,Less than $40K,Blue,35,6,4,3,1734,2941.0,0.413,1232,34,0.545,0.371,36.23529411764706
684,Existing Customer,40,F,5,College,Married,Less than $40K,Blue,35,3,1,3,1693,755.0,0.502,1269,30,0.875,0.6920000000000001,42.3
685,Existing Customer,33,M,2,Doctorate,Married,$60K - $80K,Blue,28,3,3,3,0,4049.0,0.898,1742,35,1.5,0.0,49.77142857142857
686,Existing Customer,53,M,1,High School,Single,$80K - $120K,Blue,38,6,2,2,996,7158.0,0.594,1379,26,1.0,0.122,53.03846153846154
687,Existing Customer,63,M,1,High School,Married,$40K - $60K,Blue,36,5,3,2,1571,2988.0,1.4409999999999998,1870,35,0.8420000000000001,0.345,53.42857142857143
688,Existing Customer,61,M,0,Uneducated,Single,$80K - $120K,Blue,36,4,2,1,984,18370.0,0.956,1207,32,0.684,0.051,37.71875
689,Attrited Customer,56,M,4,High School,Married,$60K - $80K,Blue,46,3,3,3,1930,410.0,0.987,781,15,0.364,0.825,52.06666666666667
690,Existing Customer,53,M,2,Graduate,Single,$60K - $80K,Blue,47,6,3,0,1389,12459.0,1.178,1773,38,0.40700000000000003,0.1,46.6578947368421
691,Attrited Customer,62,F,2,Graduate,Married,Less than $40K,Blue,52,4,2,2,513,1977.0,0.6779999999999999,864,20,0.33299999999999996,0.20600000000000002,43.2
692,Existing Customer,50,F,4,Unknown,Married,Unknown,Silver,36,6,1,2,1791,30365.0,0.9059999999999999,1559,39,1.167,0.055999999999999994,39.97435897435897
693,Existing Customer,37,M,4,Graduate,Married,$60K - $80K,Blue,30,5,3,2,2517,61.0,0.8959999999999999,1830,64,0.524,0.976,28.59375
694,Existing Customer,62,F,0,Graduate,Married,Unknown,Blue,52,6,3,2,1538,7512.0,0.77,1542,43,0.654,0.17,35.86046511627907
695,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Silver,41,4,1,2,0,34516.0,0.499,1506,47,0.516,0.0,32.04255319148936
696,Existing Customer,57,F,3,High School,Married,Unknown,Blue,51,6,1,0,0,8362.0,0.528,1175,41,0.46399999999999997,0.0,28.658536585365855
697,Existing Customer,55,M,2,High School,Married,$80K - $120K,Blue,36,3,2,3,2258,4256.0,0.785,1383,20,1.857,0.34700000000000003,69.15
698,Existing Customer,50,M,1,Graduate,Married,$80K - $120K,Blue,42,3,3,4,1183,2868.0,0.794,1837,57,0.629,0.292,32.228070175438596
699,Existing Customer,48,M,3,College,Married,$60K - $80K,Blue,37,3,3,2,1665,10294.0,0.675,1191,40,0.48100000000000004,0.139,29.775
700,Existing Customer,60,F,1,Uneducated,Divorced,$40K - $60K,Blue,48,3,2,2,0,2070.0,0.708,1793,53,0.963,0.0,33.83018867924528
701,Existing Customer,46,M,1,Unknown,Single,$120K +,Blue,32,5,2,1,1295,10545.0,0.84,1560,49,0.4,0.109,31.836734693877553
702,Existing Customer,47,M,2,College,Married,$120K +,Blue,35,4,3,2,1010,2626.0,0.596,1564,59,0.6859999999999999,0.278,26.508474576271187
703,Existing Customer,54,M,2,Uneducated,Married,$60K - $80K,Blue,36,3,3,3,2517,8550.0,1.048,1843,38,1.235,0.22699999999999998,48.5
704,Existing Customer,53,M,2,Doctorate,Married,$60K - $80K,Blue,40,3,3,3,1435,9827.0,0.735,2165,61,0.649,0.127,35.49180327868852
705,Existing Customer,56,F,3,Graduate,Single,$40K - $60K,Blue,36,4,1,0,1656,3452.0,0.711,1631,41,0.32299999999999995,0.324,39.78048780487805
706,Existing Customer,56,F,4,High School,Married,$40K - $60K,Blue,36,5,1,1,1543,529.0,0.486,1265,32,0.391,0.745,39.53125
707,Existing Customer,41,M,3,Uneducated,Married,$80K - $120K,Blue,24,4,3,3,1656,2463.0,0.561,1455,35,0.667,0.402,41.57142857142857
708,Existing Customer,60,F,1,Graduate,Married,$40K - $60K,Blue,42,5,3,3,1335,4568.0,0.914,1137,27,0.929,0.226,42.111111111111114
709,Existing Customer,40,M,5,Graduate,Unknown,$40K - $60K,Blue,25,6,2,3,541,7319.0,0.764,1367,35,0.75,0.069,39.05714285714286
710,Existing Customer,49,F,3,Post-Graduate,Married,$40K - $60K,Blue,36,6,2,2,842,5076.0,0.56,1292,26,0.733,0.142,49.69230769230769
711,Existing Customer,46,M,4,Graduate,Single,$40K - $60K,Blue,41,5,3,2,1745,4996.0,0.5589999999999999,1682,46,0.43799999999999994,0.259,36.56521739130435
712,Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,36,6,1,2,1542,2338.0,1.015,1598,39,0.5,0.397,40.97435897435897
713,Existing Customer,57,F,2,Unknown,Married,Less than $40K,Blue,45,4,2,0,1639,855.0,0.858,1555,39,0.625,0.657,39.87179487179487
714,Existing Customer,38,M,1,High School,Married,$80K - $120K,Blue,23,4,3,2,987,21162.0,1.633,2409,36,0.8,0.045,66.91666666666667
715,Existing Customer,50,M,3,Graduate,Divorced,$80K - $120K,Blue,36,4,3,1,1542,32974.0,0.8690000000000001,1770,65,0.585,0.045,27.23076923076923
716,Existing Customer,62,M,0,Graduate,Married,$60K - $80K,Blue,51,3,2,0,967,4483.0,0.701,1526,45,0.8,0.177,33.91111111111111
717,Attrited Customer,43,M,3,Unknown,Married,$40K - $60K,Blue,35,2,2,3,0,1438.3,0.6940000000000001,891,28,0.4,0.0,31.821428571428573
718,Existing Customer,44,F,5,Unknown,Single,Less than $40K,Blue,24,4,3,3,1224,779.0,0.6459999999999999,1756,42,0.355,0.611,41.80952380952381
719,Existing Customer,39,M,2,Uneducated,Single,$40K - $60K,Blue,32,6,3,2,1902,5821.0,1.181,1241,22,1.0,0.24600000000000002,56.40909090909091
720,Existing Customer,38,M,2,College,Married,$80K - $120K,Blue,23,4,1,1,1847,16379.0,0.845,1681,43,0.87,0.10099999999999999,39.093023255813954
721,Existing Customer,44,F,4,College,Married,Less than $40K,Blue,39,4,2,2,1846,6282.0,0.857,1224,32,0.778,0.22699999999999998,38.25
722,Existing Customer,43,M,3,High School,Married,$80K - $120K,Blue,32,6,2,3,1660,4191.0,0.7859999999999999,1572,38,0.52,0.284,41.36842105263158
723,Existing Customer,54,M,1,Post-Graduate,Single,$80K - $120K,Blue,40,6,3,3,942,9318.0,1.042,1566,50,0.562,0.092,31.32
724,Existing Customer,38,F,3,Unknown,Single,Unknown,Blue,32,5,1,0,727,26218.0,0.687,1579,40,0.6,0.027000000000000003,39.475
725,Existing Customer,55,M,2,Unknown,Single,$60K - $80K,Blue,36,6,3,3,1418,825.0,0.39,1334,31,0.409,0.632,43.03225806451613
726,Existing Customer,42,M,5,Unknown,Unknown,$120K +,Blue,36,4,1,2,1839,32677.0,0.69,1230,34,0.889,0.053,36.1764705882353
727,Attrited Customer,56,M,3,Unknown,Married,$60K - $80K,Blue,45,5,3,2,0,12248.0,0.894,767,25,0.562,0.0,30.68
728,Attrited Customer,59,F,1,Unknown,Married,Unknown,Blue,50,3,2,3,0,1438.3,0.57,724,16,0.231,0.0,45.25
729,Existing Customer,46,M,4,Uneducated,Single,$80K - $120K,Blue,28,4,3,2,1178,18665.0,0.909,1638,49,0.633,0.059000000000000004,33.42857142857143
730,Existing Customer,55,F,2,Post-Graduate,Married,Less than $40K,Blue,45,3,3,3,0,2163.0,0.816,1349,47,0.88,0.0,28.70212765957447
731,Existing Customer,52,M,1,Doctorate,Married,$120K +,Blue,41,4,2,2,989,32875.0,1.219,1751,48,0.92,0.028999999999999998,36.479166666666664
732,Existing Customer,39,F,2,Graduate,Married,Less than $40K,Blue,26,3,1,2,1214,3317.0,0.813,1414,40,0.33299999999999996,0.268,35.35
733,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,26,5,2,3,1705,1245.0,0.605,1260,32,0.6,0.578,39.375
734,Attrited Customer,43,F,4,College,Married,Less than $40K,Blue,23,6,2,3,392,7314.0,0.764,965,27,0.42100000000000004,0.051,35.74074074074074
735,Existing Customer,47,F,1,High School,Unknown,Unknown,Blue,36,5,1,0,2216,23441.0,0.856,1121,25,0.667,0.086,44.84
736,Existing Customer,42,F,4,Unknown,Divorced,Unknown,Blue,36,5,3,2,1525,16011.0,0.8590000000000001,1411,28,0.474,0.087,50.392857142857146
